종목,시세,등락률,시가총액,거래량
휴스틸,"6,520",-2.40,"3,663","1,874,555"
KEC,"2,530",-0.39,"3,663","2,705,114"
유나이티드제약,"22,500",-1.96,"3,655","98,357"
KBSTAR KIS단기종합채권(AA-이상)액티브,"103,190",0.02,"3,635","1,342"
서흥,"31,300",-2.34,"3,621","22,169"
흥아해운,"1,504",-2.15,"3,616","764,689"
웅진씽크빅,"3,120",-2.19,"3,604","2,126,575"
일양약품,"18,830",-0.58,"3,594","33,591"
아세아시멘트,"9,190",-1.18,"3,580","72,796"
ARIRANG 종합채권(AA-이상)액티브,"101,570",0.36,"3,575",1
SK증권,751,-3.72,"3,549","8,075,451"
코오롱모빌리티그룹,"5,610",-3.94,"3,522","1,017,055"
코오롱플라스틱,"9,230",-2.12,"3,507","112,651"
SIMPAC,"5,350",-1.83,"3,500","148,409"
퍼시스,"30,300",0.00,"3,485","1,094"
한일현대시멘트,"18,020",-1.21,"3,483","13,825"
신성이엔지,"1,690",-1.05,"3,479","808,387"
신성통상,"2,420",-0.41,"3,478","207,155"
TIGER 글로벌자율주행&전기차SOLACTIVE,"9,980",0.35,"3,469","23,845"
KOSEF 국고채10년,"109,580",0.42,"3,452","23,091"
LG헬로비전,"4,440",-0.56,"3,439","204,029"
KISCO홀딩스,"21,250",1.92,"3,437","26,306"
이연제약,"19,010",-1.20,"3,422","39,527"
신대양제지,"84,900",-0.12,"3,421",250
DL건설,"15,450",-0.90,"3,407","29,001"
TIGER 일본니케이225,"15,730",1.65,"3,407",646
아이마켓코리아,"10,190",0.39,"3,406","18,471"
대원제약,"15,460",-1.59,"3,396","86,765"
신도리코,"33,600",-0.59,"3,387","16,352"
E1,"49,200",-0.71,"3,375","9,485"
HL홀딩스,"32,200",-2.42,"3,372","28,527"
한일홀딩스,"10,920",-0.09,"3,367",630
HJ중공업,"4,020",-0.62,"3,348","58,608"
지역난방공사,"28,850",-0.69,"3,340",880
현대퓨처넷,"3,030",-3.04,"3,339","263,079"
세진중공업,"5,870",-1.51,"3,337","132,324"
이리츠코크렙,"5,250",1.16,"3,325","38,792"
아세아제지,"37,000",-0.13,"3,314","20,881"
대한제강,"13,410",-2.12,"3,305","71,937"
한국토지신탁,"1,307",-0.15,"3,300","631,483"
농심홀딩스,"70,600",0.43,"3,274","2,257"
LX하우시스,"36,500",-2.80,"3,273","24,462"
YG PLUS,"5,160",-2.82,"3,273","272,445"
KG케미칼,"23,600",-1.67,"3,272","56,665"
수산인더스트리,"22,900",-0.43,"3,271","39,928"
키다리스튜디오,"8,850",-0.34,"3,271","96,539"
대신증권우,"12,500",0.00,"3,250","14,193"
조선내화,"81,200",0.00,"3,248",712
한화3우B,"14,440",-0.82,"3,245","18,692"
화신,"9,290",1.09,"3,244","592,832"
삼진제약,"23,250",-0.43,"3,232","52,933"
한진,"21,600",0.23,"3,229","18,327"
락앤락,"6,420",-0.47,"3,223","29,848"
SK렌터카,"6,790",-0.88,"3,211","31,663"
일신방직,"133,500",-0.67,"3,204","15,018"
환인제약,"17,200",-0.29,"3,199","14,472"
조광피혁,"48,050",0.00,"3,195",235
KOSEF 200,"32,155",-0.88,"3,183","32,228"
SNT중공업,"9,570",-1.85,"3,182","97,207"
