종목,시세,등락률,시가총액(억),거래량(백만)
일동제약,"23,850",-0.83,"6,393","356,233"
드림텍,"9,400",-2.19,"6,340","134,163"
동원F&B,"163,600",-1.62,"6,314","2,336"
티와이홀딩스,"12,320",-2.22,"6,274","81,345"
현대홈쇼핑,"52,100",-0.76,"6,252","7,061"
티웨이항공,"3,215",0.78,"6,250","698,126"
KODEX 자동차,"17,515",-1.05,"6,209","86,464"
KODEX MSCI Korea TR,"10,515",-1.08,"6,172","48,788"
보령,"8,980",-1.1,"6,168","174,751"
프레스티지바이오파마,"10,200",0.29,"6,130","61,409"
동아쏘시오홀딩스,"96,200",-1.13,"6,108","1,517"
SK디스커버리,"32,050",-2.88,"6,102","26,322"
SPC삼립,"70,600",-0.14,"6,092","2,905"
부광약품,"8,470",-2.76,"6,019","103,891"
LG생활건강우,"286,000",-1.21,"6,005","4,112"
KODEX 코스닥150,"11,205",0.54,"6,000","5,304,758"
영진약품,"3,265",-2.39,"5,971","260,576"
삼성 인버스 2X 천연가스 선물 ETN C,"59,085",-8.88,"5,909","81,706"
한국단자,"56,700",-0.53,"5,905","3,762"
한화손해보험,"4,995",4.72,"5,831","1,553,861"
자화전자,"28,600",-0.87,"5,819","101,697"
지누스,"30,600",-0.16,"5,784","48,743"
이수페타시스,"9,180",-2.55,"5,806","16,097,861"
삼아알미늄,"39,300",-0.51,"5,782","100,787"
ARIRANG 200,"32,315",-1.37,"5,752","118,581"
파미셀,"9,580",-2.74,"5,750","172,179"
케이카,"11,900",-2.38,"5,722","164,155"
이수화학,"20,350",-1.93,"5,690","292,729"
쿠쿠홀딩스,"15,980",-0.62,"5,683","6,896"
화승엔터프라이즈,"9,340",0.65,"5,659","99,530"
신영증권,"59,900",-0.33,"5,622",427
유니드,"82,400",3.65,"5,577","54,822"
HSD엔진,"7,780",1.43,"5,566","348,660"
진원생명과학,"7,160",-1.24,"5,567","177,952"
QV 코스피 변동성 매칭형 양매도 ETN,"7,910",0,"5,537",-
유안타증권,"2,750",-2.48,"5,489","107,876"
고려제강,"21,750",0,"5,438","14,834"
